	summarized	lineages	abundances	resid	coverage
CST_WGS_25_0765_S137.tsv	[('Other', 1.0)]	MEASLESgenome-D8	1.00000000	7.83994582356271	12.866490499559582
ENV_COV_24_2711_1_S55.tsv	[('Other', 0.9998750000008962)]	MEASLESgenome-B3	0.99987500	33.231837016677254	42.160563734742674
CST_WGS_25_0062_4_S58.tsv	[('Other', 0.9999999999999308)]	MEASLESgenome-B3	1.00000000	10.230531416444013	31.017994211652194
CST_WGS_25_0800_S140.tsv	[('Other', 0.9999999999998638)]	MEASLESgenome-B3	1.00000000	20.920893639056	41.33635334088335
ENV_COV_25_0041_13_S64.tsv	[('Other', 0.9999999999479748)]	MEASLESgenome-B3	1.00000000	59.37703683807864	90.612809865358
PC_18_S69.tsv	[('Other', 0.9999999999997756)]	MEASLESgenome-A	1.00000000	2.0243933247223542	27.626777400276833
ART_MEV_24_2255_C_S75.tsv	[('Other', 0.9999999999997186)]	MEASLESgenome-B3	1.00000000	24.264194597848373	27.255568138920346
ENV_COV_25_0042_14_S65.tsv	[('Other', 0.9996469980894085)]	MEASLESgenome-B3	0.99964700	80.89575400973631	97.76016106706933
ENV_COV_25_0054_01_S119.tsv	[('Other', 0.9999009996821461)]	MEASLESgenome-B3	0.99990100	54.93972618148838	79.53315716622625
ENV_COV_25_0003_07_S125.tsv	[('Other', 0.999931999996187)]	MEASLESgenome-B3	0.99993200	5.746199226140993	12.054863470492009
ART_MEV_24_2266_C_S76.tsv	[('Other', 0.9999999999999986)]	MEASLESgenome-B3	1.00000000	1.028982612083003	2.472631181577954
CST_WGS_25_0066_6_S60.tsv	[('Other', 0.999886000023239)]	MEASLESgenome-B3	0.99988600	70.673819931423	94.38152762048571
CST-WGS-25-1067_S111.tsv	[('Other', 1.0)]	MEASLESgenome-D8	1.00000000	2.8928061459994896	4.769095256071473
CST_WGS_25_0083_S11.tsv	[('Other', 1.0000000000000016)]	MEASLESgenome-D8	1.00000000	23.47499276502448	1.554045551780546
CST_WGS_25_0825_S141.tsv	[('Other', 0.9999999999999091)]	MEASLESgenome-B3	1.00000000	51.393137788893206	65.3013715867623
CST_WGS_25_0850_S145.tsv	[('Other', 0.9999999999998777)]	MEASLESgenome-B3	1.00000000	21.63543145246959	41.10985277463194
PC_S87.tsv	[('Other', 0.9995737102226747)]	MEASLESgenome-A	0.99957371	10.015380055894425	99.67283251541463
CST-WGS-25-1081_S113.tsv	[('Other', 1.0000000000000002)]	MEASLESgenome-D8	1.00000000	7.315872349163424	4.850887127217818
CST_WGS_25_0921_S150.tsv	[('Other', 0.999999999999427)]	MEASLESgenome-D8	1.00000000	6.061177139536744	10.305775764439412
