#node	date	numeric date
NODE_0000001	1984-02-29	1984.163345
NODE_0000153	1997-03-02	1997.166010
JN635407.1|USA|2007-01-01	2007-01-01	2007.001370
MW916931.1|India|2006-03-30	2006-03-30	2006.242466
NODE_0000155	1999-03-20	1999.214641
OP236014.1|India|2008-01-01	2008-01-01	2008.001366
NODE_0000156	2000-11-07	2000.850449
MW916922.1|India|2014-02-07	2014-02-07	2014.102740
OP236011.1|India|2010-01-01	2010-01-01	2010.001370
NODE_0000166	2007-10-18	2007.795464
MW916921.1|India|2014-03-04	2014-03-04	2014.171233
NODE_0000167	2015-12-18	2015.963014
MN125018.1|India|2015-12-18	2015-12-18	2015.963014
MN125019.1|India|2015-12-18	2015-12-18	2015.963014
NODE_0000014	2007-01-18	2007.047945
MW916932.1|India|2007-01-18	2007-01-18	2007.047945
NODE_0000006	2008-01-01	2008.001366
OP236013.1|India|2008-01-01	2008-01-01	2008.001366
NODE_0000009	2009-10-12	2009.778222
MN125027.1|India|2014-02-07	2014-02-07	2014.102740
NODE_0000012	2010-01-01	2010.001370
OP236010.1|India|2010-01-01	2010-01-01	2010.001370
NODE_0000013	2012-01-01	2012.001366
KT732230.1|United_Kingdom|2012-02-01	2012-02-01	2012.086066
OP236015.1|India|2012-01-01	2012-01-01	2012.001366
NODE_0000182	2003-10-17	2003.793200
MN125021.1|India|2015-01-15	2015-01-15	2015.039726
MN125023.1|India|2015-03-10	2015-03-10	2015.187671
MW916924.1|India|2015-08-05	2015-08-05	2015.593151
NODE_0000186	2007-12-16	2007.956519
MN125028.1|India|2015-02-09	2015-02-09	2015.108219
OQ096304.1|Canada|2018-07-01	2018-07-01	2018.497260
NODE_0000187	2015-08-07	2015.598630
MW916925.1|India|2015-08-07	2015-08-07	2015.598630
MW916920.1|India|2015-08-07	2015-08-07	2015.598630
MW916926.1|India|2015-08-07	2015-08-07	2015.598630
NODE_0000168	2011-03-28	2011.236225
MN125024.1|India|2015-02-07	2015-02-07	2015.102740
NODE_0000018	2013-10-17	2013.792233
OQ096282.1|Canada|2018-02-13	2018-02-13	2018.119178
MW916927.1|India|2015-08-21	2015-08-21	2015.636986
NODE_0000171	2012-07-01	2012.498634
MK142914.1|Viet_Nam|2014-05-03	2014-05-03	2014.335616
KT732232.1|United_Kingdom|2012-07-01	2012-07-01	2012.498634
NODE_0000020	2012-07-01	2012.498634
NODE_0000172	2017-07-26	2017.565510
CVI_0347_23_U|SouthAfrica|2023-03-31	2023-03-31	2023.245205
NODE_0000173	2022-03-21	2022.217151
CVI_05701_23_TS|SouthAfrica|2023-10-13	2023-10-13	2023.782192
NODE_0000023	2023-10-27	2023.820548
CVI_05700_23_TS|SouthAfrica|2023-10-27	2023-10-27	2023.820548
CVI05703_23_TS|SouthAfrica|2023-10-27	2023-10-27	2023.820548
NODE_0000025	2013-05-10	2013.354795
KJ410048.1|Germany|2013-05-10	2013-05-10	2013.354795
NODE_0000026	2014-06-07	2014.431507
MK142915.1|Viet_Nam|2014-06-07	2014-06-07	2014.431507
NODE_0000027	2014-06-25	2014.480822
KU728742.1|Viet_Nam|2014-06-25	2014-06-25	2014.480822
NODE_0000028	2014-07-14	2014.532877
KU728743.1|Viet_Nam|2014-08-29	2014-08-29	2014.658904
MK142916.1|Viet_Nam|2014-07-14	2014-07-14	2014.532877
NODE_0000189	2010-12-16	2010.958545
NODE_0000190	2013-02-01	2013.086301
KT732247.1|United_Kingdom|2013-03-01	2013-03-01	2013.163014
KT732248.1|United_Kingdom|2013-03-01	2013-03-01	2013.163014
KT732245.1|United_Kingdom|2013-02-01	2013-02-01	2013.086301
NODE_0000031	2013-03-18	2013.209025
NODE_0000032	2013-04-01	2013.247945
KT732257.1|United_Kingdom|2013-04-01	2013-04-01	2013.247945
