,sname,region,coverage
0,NAT_WGS_25_0523,Whole Genome,0.0
1,ENV_COV_25_0029_09,Whole Genome,96.65282496539575
2,CST_WGS_25_0083,Whole Genome,1.0192525481313703
3,ART_MEV_24_2255_C,Whole Genome,26.683025040895934
4,ENV_COV_25_0020_06,Whole Genome,4.882345539197181
5,NAT_WGS_25_0514,Whole Genome,6.851642129105323
6,ENV_COV_25_0032_11,Whole Genome,0.0
7,CVI02117_24,Whole Genome,97.94261985654964
8,CST-WGS-25-0332,Whole Genome,57.310934944004025
9,ART_MEV_24_2270_C,Whole Genome,2.541839687932553
10,CST_WGS_25_0800,Whole Genome,41.06581099786083
11,CVI01234_25,Whole Genome,93.33081666037498
12,CVI05141_23_TS,Whole Genome,95.04844595444823
13,CVI05703_23_TS,Whole Genome,99.57216559708067
14,CVI06272_24,Whole Genome,67.2329180822952
15,ENV_COV_25_0021_07,Whole Genome,0.0
16,CVI23645_24,Whole Genome,88.0583868126337
17,NAT_WGS_25_0632,Whole Genome,44.18019378381779
18,56910897,Whole Genome,99.75462438656096
19,PC,Whole Genome,99.67283251541463
20,CST_WGS_25_0753,Whole Genome,0.0
21,ART_MEV_24_2283_D,Whole Genome,86.98880080533534
22,NAT_WGS_25_0593,Whole Genome,47.489618724046814
23,CST_WGS_25_0878,Whole Genome,86.93846734616837
24,CST_WGS_25_0921,Whole Genome,10.30577576443941
25,EXTR__17,Whole Genome,0.0
26,CST-WGS-25-1081,Whole Genome,4.850887127217818
27,CVI02604_25,Whole Genome,99.66654083301874
28,CST-WGS-25-0229,Whole Genome,4.970429092739399
29,CST_WGS_25_0063_5,Whole Genome,0.0
30,CVI04965_23,Whole Genome,40.16610041525104
31,CST-WGS-25-0584,Whole Genome,0.0
32,CST_WGS_25_0847,Whole Genome,52.80609034855921
33,CST_WGS_25_0066_6,Whole Genome,94.38152762048571
34,CVI03470_23,Whole Genome,64.16886875550523
35,ENV_COV_25_0045_15,Whole Genome,9.884233043915943
36,CVI02100_25,Whole Genome,76.73965018245879
37,CVI02519_25,Whole Genome,99.64137410343525
38,CVI_05700_23_TS,Whole Genome,99.69170756260223
39,NAT_WGS_25_0510,Whole Genome,0.0
