	summarized	lineages	abundances	resid	coverage
GCA_031128155.1_0.8_GCA_031128145.1_0.2_variants.tsv	[('Other', 0.9999999993949199)]	MEASLESgenome-B3 MEASLESgenome-D8 MEASLESgenome-D6	0.78947400 0.20129900 0.00922700	86.77100416041047	87.56763558575562
GCA_031128135.1_0.2_GCA_031128185.1_0.8_variants.tsv	[('Other', 0.9999999958382605)]	MEASLESgenome-H1 MEASLESgenome-D5	0.77070100 0.22929900	158.8242482489677	90.62539323014974
GCA_031128155.1_0.5_GCA_031128145.1_0.5_variants.tsv	[('Other', 0.999999999037656)]	MEASLESgenome-D8 MEASLESgenome-B3	0.50000000 0.50000000	102.28605160104782	89.73197432993582
GCA_031128155.1_0.3_GCA_031128165.1_0.7_variants.tsv	[('Other', 1.000000000012351)]	MEASLESgenome-D3 MEASLESgenome-B3	0.73333300 0.26666700	92.14234395940635	95.82232288914055
GCA_031128145.1_0.6_GCA_031128185.1_0.4_variants.tsv	[('Other', 0.9999999999857941)]	MEASLESgenome-D8 MEASLESgenome-H1	0.64864900 0.35135100	118.35068416047051	87.33484333710834
GCA_031112925.1_0.2_GCA_031128145.1_0.8_variants.tsv	[('Other', 1.0000000000500096)]	MEASLESgenome-D8 MEASLESgenome-A	0.80000000 0.20000000	48.607435481955605	92.41223103057757
GCA_031128155.1_0.7_GCA_031128185.1_0.3_variants.tsv	[('Other', 0.9999999997803124)]	MEASLESgenome-B3 MEASLESgenome-H1	0.71428600 0.28571400	127.69801829867752	84.83075374355103
GCA_031128135.1_0.8_GCA_031128145.1_0.2_variants.tsv	[('Other', 0.9999999999865915)]	MEASLESgenome-D5 MEASLESgenome-D8	0.81250000 0.18750000	30.080860681774777	92.04731345161696
GCA_031128155.1_0.2_GCA_031128185.1_0.8_variants.tsv	[('Other', 0.9999999899912836)]	MEASLESgenome-H1 MEASLESgenome-B3	0.79617800 0.20382199	126.47204348754188	82.0057883478042
GCA_031128135.1_0.5_GCA_031128145.1_0.5_variants.tsv	[('Other', 0.9999999999941172)]	MEASLESgenome-D5 MEASLESgenome-D8	0.50000000 0.50000000	43.95681455959374	93.92223480558701
