,organism,isolate,note,strain,host,geo_loc_name,collection_date_iso,collection_date,clade,country,locality
PX460089.1,Measles virus genotype D8,MVs/Utah.USA/36.25/29 [D8],modified by co-transcriptional insertion of a non-templated G residue,,Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX460088.1,Measles virus genotype D8,MVs/Utah.USA/36.25/27 [D8],modified by co-transcriptional insertion of a non-templated G residue,,Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX460087.1,Measles virus genotype D8,MVs/Utah.USA/36.25/30 [D8],modified by co-transcriptional insertion of a non-templated G residue,,Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX460086.1,Measles virus genotype D8,MVs/Utah.USA/36.25/25 [D8],modified by co-transcriptional insertion of a non-templated G residue,,Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX460085.1,Measles virus genotype D8,MVs/Utah.USA/40.25 [D8],modified by co-transcriptional insertion of a non-templated G residue,,Homo sapiens,USA,2025-10-01,2025-10-01,D8,USA,
PX460084.1,Measles virus genotype D8,MVs/Utah.USA/36.25/28 [D8],modified by co-transcriptional insertion of a non-templated G residue,,Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX460083.1,Measles virus genotype D8,MVs/Utah.USA/36.25/26 [D8],modified by co-transcriptional insertion of a non-templated G residue,,Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX437933.1,Measles virus genotype D8,MVs/Utah.USA/36.25/21[D8],modified by co-transcriptional insertion of a non-templated G residue,,Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX437932.1,Measles virus genotype D8,MVs/Utah.USA/36.25/17[D8],modified by co-transcriptional insertion of a non-templated G residue,,Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX437931.1,Measles virus genotype D8,MVs/Utah.USA/36.25/20[D8],modified by co-transcriptional insertion of a non-templated G residue,,Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX437930.1,Measles virus genotype D8,MVs/Utah.USA/36.25/18[D8],modified by co-transcriptional insertion of a non-templated G residue,,Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX437929.1,Measles virus genotype D8,MVs/Utah.USA/36.25/19[D8],modified by co-transcriptional insertion of a non-templated G residue,,Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX387648.1,Measles virus genotype D8,UT-UPHL-250912575717,modified by co-transcriptional insertion of a non-templated G residue,MVs/Utah.USA/36.25/6[D8],Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX387647.1,Measles virus genotype D8,UT-UPHL-250912383951,modified by co-transcriptional insertion of a non-templated G residue,MVs/Utah.USA/36.25/4[D8],Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX387654.1,Measles virus genotype D8,UT-UPHL-250912645146,modified by co-transcriptional insertion of a non-templated G residue,MVs/Utah.USA/31.25/2[D8],Homo sapiens,USA,2025-08-01,2025-08-01,D8,USA,
PX387653.1,Measles virus genotype D8,UT-UPHL-250912782195,modified by co-transcriptional insertion of a non-templated G residue,MVs/Utah.USA/36.25/11[D8],Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX387652.1,Measles virus genotype D8,UT-UPHL-250912383922,modified by co-transcriptional insertion of a non-templated G residue,MVs/Utah.USA/36.25/10[D8],Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX387651.1,Measles virus genotype D8,UT-UPHL-250912657305,modified by co-transcriptional insertion of a non-templated G residue,MVs/Utah.USA/36.25/9[D8],Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX387650.1,Measles virus genotype D8,UT-UPHL-250912042166,modified by co-transcriptional insertion of a non-templated G residue,MVs/Utah.USA/36.25/8[D8],Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX387649.1,Measles virus genotype D8,UT-UPHL-250912006101,modified by co-transcriptional insertion of a non-templated G residue,MVs/Utah.USA/36.25/7[D8],Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX387646.1,Measles virus genotype D8,UT-UPHL-250912087706,modified by co-transcriptional insertion of a non-templated G residue,MVs/Utah.USA/31.25[D8],Homo sapiens,USA,2025-08-01,2025-08-01,D8,USA,
PX387645.1,Measles virus genotype D8,UT-UPHL-250912946788,modified by co-transcriptional insertion of a non-templated G residue,MVs/Utah.USA/36.25/3[D8],Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX387644.1,Measles virus genotype D8,UT-UPHL-250912289371,modified by co-transcriptional insertion of a non-templated G residue,MVs/Utah.USA/36.25/2[D8],Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX387643.1,Measles virus genotype D8,UT-UPHL-250912224798,modified by co-transcriptional insertion of a non-templated G residue,MVs/Utah.USA/36.25[D8],Homo sapiens,USA,2025-09-01,2025-09-01,D8,USA,
PX308150.1,Measles virus genotype D8,,genotype: D8,MVs/Utah.USA/31.25/12[D8],Homo sapiens,USA: Utah,2025-08-01,2025-08-01,D8,USA,Utah
PX308149.1,Measles virus genotype D8,,genotype: D8,MVs/Utah.USA/31.25/14[D8],Homo sapiens,USA: Utah,2025-08-01,2025-08-01,D8,USA,Utah
PX308148.1,Measles virus genotype D8,,genotype: D8,MVs/Utah.USA/31.25/11[D8],Homo sapiens,USA: Utah,2025-08-01,2025-08-01,D8,USA,Utah
PX308147.1,Measles virus genotype D8,,genotype: D8,MVs/Utah.USA/31.25/10[D8],Homo sapiens,USA: Utah,2025-08-01,2025-08-01,D8,USA,Utah
PX308146.1,Measles virus genotype D8,,genotype: D8,MVs/Utah.USA/31.25/8[D8],Homo sapiens,USA: Utah,2025-08-01,2025-08-01,D8,USA,Utah
