Sample Number,Sample Site Identification Number,Site Name,Site Location (lat),Site Location (long),Site Province,District Name,Local Municipality,Epi Week,Sample Collection Date,Concentration method,Measles Concentration (copies/uL),Measles Partitions (positive),Measles Result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART-MEV-24-2250_D,ENV-SOA-GAP-JBM-NWT-24-0040,Northern Wastewater Treatment Works (GP),-25.9454325,27.9944446,Gauteng,Johannesburg MM,,43,2024/10/22,Dynabeads,2.484,6,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART-MEV-24-2254_D,COJ-BKI-24-43-A,Bushkoppies Inlet,-26.3057229,27.9313022,Gauteng,Johannesburg MM,,43,2024/10/23,Dynabeads,0.826,2,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART-MEV-24-2257_D,COJ-MOT-24-43-A,Motsoaledi,-26.2643615,27.9338135,Gauteng,Johannesburg MM,,43,2024/10/23,Dynabeads,0.941,2,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART-MEV-24-2262_D,ENV-SOA-GAP-JBM-GDK-24-23102401,Goudkoppies Wastewater Treatment Works,-26.2700368,27.9292156,Gauteng,Johannesburg MM,,43,2024/10/23,Dynabeads,2.082,5,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART-MEV-24-2266_D,COE-TMH-24-43-B,Tembisa Hospital East and West,-25.9863659,28.2344536,Gauteng,Ekurhuleni MM,,43,2024/10/24,Dynabeads,5.356,13,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART-MEV-24-2268_D,COE-TMM-24-43-B,Tembisa Mall,-25.9606666,28.2061406,Gauteng,Ekurhuleni MM,,43,2024/10/24,Dynabeads,1.216,3,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ART-MEV-24-2283_D,COT-KAH-24-43-B,Kalafong Hospital,-25.7614718,28.0875265,Gauteng,Tshwane MM,,47,2024/10/25,Dynabeads,3.485,9,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST-WGS-25-0062,COE-OLI-25-03-B,Olifantsfontein,-25.943392,28.2141584,Gauteng,Ekurhuleni MM,,3,2025/01/16,Dynabeads,5.042,12,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST-WGS-25-0063,COE-ORT-25-03-B,OR Tambo International Airport,-26.1183026,28.2370854,Gauteng,Ekurhuleni MM,,3,2025/01/16,Dynabeads,0.417,1,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CST-WGS-25-0066,COT-KAH-25-03-B,Kalafong Hospital,-25.7619658,28.0879978,Gauteng,Tshwane MM,,3,2025/01/17,Dynabeads,50.22,127,Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
