V1	clade
NC_001498.1	D3
AB012948.1	D5
AB012949.1	D5
FJ161211.1	H1
GQ376026.1	D3
GQ376027.1	D3
JF727649.1	A
JF727650.1	A
JF791787.1	unassigned
JN635402.1	D4
JN635403.1	D4
JN635404.1	D8
JN635405.1	D5
JN635406.1	D5
JN635407.1	D8
JN635408.1	B3
JN635409.1	D3
JN635410.1	D7
JN635411.1	H1
KC117298.1	D8
KC164757.1	D4
KC164758.1	G3
KJ410048.1	D8
KJ755974.1	H1
KJ755975.1	H1
KJ755976.1	H1
KJ755977.1	H1
KJ755978.1	H1
KJ755979.1	H1
KJ755980.1	H1
KJ755981.1	H1
KJ755982.1	H1
KT588921.1	H1
KT732214.1	B3
KT732215.1	B3
KT732216.1	B3
KT732217.1	B3
KT732218.1	B3
KT732219.1	B3
KT732220.1	B3
KT732221.1	B3
KT732222.1	B3
KT732223.1	B3
KT732224.1	B3
KT732225.1	D4
KT732226.1	D4
KT732227.1	D4
KT732228.1	D4
KT732229.1	D4
KT732230.1	D8
KT732231.1	D8
KT732232.1	D8
KT732233.1	D8
KT732234.1	D8
KT732235.1	D8
KT732236.1	D8
KT732237.1	D8
KT732238.1	D8
KT732239.1	D8
KT732240.1	D8
KT732241.1	D8
KT732242.1	D8
KT732243.1	D8
KT732244.1	D8
KT732245.1	D8
KT732246.1	D8
KT732247.1	D8
KT732248.1	D8
KT732249.1	D8
KT732250.1	D8
KT732251.1	D8
KT732252.1	D8
KT732253.1	D8
KT732254.1	D8
KT732255.1	D8
KT732256.1	D8
KT732257.1	D8
KT732258.1	D8
KT732259.1	D8
KT732260.1	D8
KT732261.1	D8
KU728742.1	D8
KU728743.1	D8
KX838946.2	B3
KY656518.1	D4
KY969476.1	D9
KY969477.1	B3
KY969478.1	B3
KY969479.1	D4
KY969480.1	D8
KY969481.1	B3
LC336599.1	D3
LC655226.1	C1
LC655227.1	C1
LC655228.1	C1
LC655229.1	C1
LC655230.1	C1
LC769207.1	D8
LC789940.1	D8
LC789941.1	D8
LC848726.1	D8
LC848727.1	D8
LC848728.1	D8
LC848729.1	D8
LC848730.1	D8
LC848731.1	D8
MF449469.1	D4
MF496200.1	D8
MF496201.1	D8
MF496202.1	D8
MF775733.1	D6
MG912589.1	C2
MG912590.1	B3
MG912591.1	G2
MG912592.1	D8
MG912593.1	D4
MG912594.1	H1
MG972194.1	H1
MH173047.1	D8
MH356245.1	D8
MH631015.1	D8
MH631016.1	D8
MK142914.1	D8
MK142915.1	D8
MK142916.1	D8
MK161348.1	D8
MK513598.1	B3
MK513599.1	B3
MK513600.1	B3
MK513601.1	B3
MK513602.1	B3
MK513603.1	B3
MK513604.1	B3
MK513605.1	B3
MK513606.1	B3
MK513607.1	B3
MK513608.1	B3
MK513609.1	B3
MK513610.1	B3
MK513611.1	B3
MK513612.1	B3
MK513613.1	B3
MK513614.1	B3
MK513615.1	B3
MK513616.1	B3
MK513617.1	B3
MK513618.1	B3
MK513619.1	B3
MK513620.1	B3
MK513621.1	B3
MK513622.1	B3
MK513623.1	D8
MK513624.1	D8
MK513625.1	D8
MK513626.1	D8
MK513627.1	D8
MN017369.1	D11
MN125018.1	D8
MN125019.1	D8
MN125020.1	D8
MN125021.1	D8
MN125022.1	D8
MN125023.1	D8
MN125024.1	D8
MN125025.1	D8
MN125026.1	D8
MN125027.1	D8
MN125028.1	D8
MN125029.1	D8
MN125030.1	D8
MN145872.1	A
MN630020.1	H1
MN630021.1	H1
MN630022.1	D9
MN630023.1	B3
MN893225.1	B3
MT350232.1	D8
MT738550.1	D8
MT789788.1	B3
MT789789.1	B3
MT789790.1	B3
MT789791.1	B3
MT789792.1	B3
MT789793.1	B3
MT789794.1	B3
MT789795.1	B3
MT789796.1	B3
MT789797.1	B3
MT789798.1	B3
MT789799.1	B3
MT789800.1	B3
MT789801.1	B3
MT789802.1	B3
MT789803.1	B3
MT789804.1	B3
MT789805.1	B3
MT789806.1	B3
MT789807.1	B3
MT789808.1	B3
MT789809.1	B3
MT789810.1	B3
MT789811.1	B3
MT789812.1	B3
MT789813.1	B3
MT789814.1	B3
MT789815.1	B3
MT789816.1	B3
MT789817.1	B3
MT789818.1	B3
MT789819.1	B3
MT789820.1	B3
MT789821.1	D8
MT789822.1	D8
MT789823.1	D8
MT789824.1	D8
MT789825.1	D8
MT789826.1	D8
MT789827.1	D8
MT789828.1	D8
MT789829.1	D8
MT789830.1	D8
MT789831.1	D8
MT789832.1	D8
MT789833.1	D8
MT789834.1	D8
MT789835.1	D8
MT789836.1	D8
MT789837.1	D8
MT789838.1	D8
MT789839.1	D8
MT789840.1	D8
MT789841.1	D8
MT789842.1	D8
MT789843.1	D8
MT789844.1	D8
MT789845.1	D8
MT789846.1	D8
MT789847.1	D8
MT789848.1	D8
MT789849.1	D8
MW916919.1	D8
MW916920.1	D8
MW916921.1	D8
MW916922.1	D8
MW916923.1	D8
MW916924.1	D8
MW916925.1	D8
MW916926.1	D8
MW916927.1	D8
MW916928.1	D4
MW916929.1	D4
MW916930.1	D8
MW916931.1	D8
MW916932.1	D8
MW916933.1	D4
MZ031176.1	D8
MZ031177.1	D8
MZ031178.1	D8
MZ031179.1	D8
MZ031180.1	D8
MZ031181.1	D8
MZ031182.1	D8
MZ031183.1	D8
MZ031184.1	D8
MZ031185.1	D8
MZ031186.1	D8
MZ031187.1	D8
MZ031188.1	D8
MZ031189.1	D8
MZ031190.1	D8
MZ031191.1	D8
MZ031192.1	D8
MZ031193.1	D8
MZ031194.1	D8
MZ031195.1	D8
MZ031197.1	D8
MZ031198.1	D8
MZ031199.1	D8
MZ031200.1	D8
MZ031201.1	D8
MZ031202.1	D8
MZ031203.1	D8
MZ031204.1	D8
MZ031205.1	D8
MZ031206.1	D8
MZ031207.1	D8
MZ031208.1	D8
MZ031209.1	D8
MZ031210.1	D8
MZ031211.1	D8
MZ031212.1	D8
MZ031213.1	D8
MZ031214.1	D8
MZ031215.1	D8
MZ031216.1	D8
MZ031217.1	D8
MZ031218.1	D8
MZ031219.1	D8
MZ031220.1	D8
MZ031221.1	D8
MZ031222.1	D8
MZ031223.1	D8
MZ031224.1	D8
MZ031225.1	D8
MZ031226.1	B3
MZ031227.1	D8
MZ031228.1	D8
MZ031229.1	B3
MZ031230.1	D8
MZ031231.1	B3
MZ031232.1	D8
MZ031233.1	D8
MZ031234.1	D8
MZ031235.1	D8
MZ031236.1	D8
MZ031237.1	D8
MZ031238.1	D8
MZ031239.1	D8
MZ031240.1	D8
MZ031241.1	B3
MZ031242.1	D8
MZ031243.1	D8
MZ031244.1	D8
MZ031245.1	D8
MZ031246.1	D8
MZ031247.1	D8
MZ031248.1	D8
MZ031249.1	D8
MZ031250.1	D8
MZ031251.1	D8
MZ031252.1	D8
MZ031253.1	D8
MZ031254.1	D8
MZ031255.1	D8
MZ031256.1	D8
MZ031257.1	D8
MZ031258.1	B3
MZ031259.1	D8
MZ031260.1	D8
MZ031261.1	D8
MZ031262.1	D8
MZ031263.1	D8
MZ031264.1	D8
MZ031265.1	D8
MZ031266.1	D8
MZ031267.1	D8
MZ031268.1	D8
MZ031269.1	D8
MZ031270.1	D8
MZ031271.1	D8
MZ031272.1	D8
MZ031273.1	D8
MZ031274.1	D8
MZ442613.1	H1
MZ442614.1	H1
MZ442615.1	H1
MZ442616.1	H1
MZ442617.1	H1
MZ442618.1	H1
MZ442619.1	H1
MZ442620.1	H1
MZ442621.1	H1
MZ442622.1	H1
MZ442623.1	H1
MZ442624.1	H1
MZ442625.1	H1
MZ442626.1	H1
MZ442627.1	H1
MZ442628.1	H1
MZ442629.1	H1
MZ442630.1	H1
MZ442631.1	H1
MZ442632.1	H1
MZ442633.1	H1
MZ442634.1	H1
MZ442635.1	H1
MZ483879.1	H1
MZ483880.1	H1
MZ483881.1	H1
MZ483882.1	H1
MZ483883.1	H1
MZ483884.1	H1
MZ483885.1	H1
MZ483886.1	H1
MZ483887.1	H1
MZ483888.1	H1
MZ483889.1	H1
MZ483890.1	H1
MZ483891.1	H1
MZ483892.1	H1
MZ483893.1	H1
MZ483894.1	H1
MZ483895.1	H1
MZ483896.1	H1
MZ483897.1	H1
MZ483898.1	H1
MZ483899.1	H1
MZ483900.1	H1
MZ483901.1	H1
MZ483902.1	H1
MZ483903.1	H1
MZ483904.1	H1
MZ483905.1	H1
MZ483906.1	H1
MZ483907.1	H1
MZ483908.1	H1
MZ483909.1	H1
MZ483910.1	H1
MZ483911.1	H1
MZ483912.1	H1
MZ483913.1	H1
MZ483914.1	H1
MZ483915.1	H1
MZ483916.1	H1
MZ483917.1	H1
MZ483918.1	H1
MZ483919.1	H1
MZ483920.1	H1
MZ483921.1	H1
MZ483922.1	H1
MZ483923.1	H1
MZ483924.1	H1
MZ483925.1	H1
MZ483926.1	H1
MZ483927.1	H1
MZ483928.1	H1
MZ483929.1	H1
MZ483930.1	H1
MZ483931.1	H1
MZ483932.1	H1
MZ483933.1	H1
MZ483934.1	H1
MZ483935.1	H1
MZ483936.1	H1
MZ483937.1	H1
MZ483938.1	H1
MZ483939.1	H1
MZ483940.1	H1
MZ483941.1	H1
MZ483942.1	H1
MZ483943.1	H1
MZ483944.1	H1
MZ712065.1	D8
MZ712066.1	D8
MZ712067.1	D8
MZ712068.1	D8
MZ712069.1	D8
MZ712070.1	D8
MZ712071.1	D8
MZ712072.1	D8
MZ712073.1	D8
MZ712074.1	D8
MZ712075.1	D8
MZ712076.1	D8
MZ712077.1	D8
MZ712078.1	D8
MZ712079.1	D8
MZ712082.1	B3
MZ712083.1	D8
MZ712084.1	D8
MZ712085.1	D8
MZ712087.1	D8
OK424758.1	D4
OK424759.1	D4
OK424760.1	D4
OK424761.1	D4
OK424762.1	D4
OK424763.1	D4
OK424764.1	D4
OK424765.1	D4
OK424766.1	D4
OK424767.1	D4
OK424768.1	D4
OK424769.1	D4
OK424770.1	D4
OK424771.1	D4
OK424772.1	D4
OK424773.1	D4
OK424774.1	D4
OK424775.1	D4
OK424776.1	D4
OK424777.1	D4
OK424778.1	D4
OK424779.1	D4
OK424780.1	D4
OK424781.1	D4
OK424782.1	D4
OK424783.1	D4
OK424784.1	D4
OK424785.1	D4
OK424786.1	D4
OK424787.1	D4
OK424788.1	D4
OK424789.1	D4
OK424790.1	D4
OK424791.1	D4
OK424792.1	D4
OK424793.1	D4
OK424794.1	D4
OK424795.1	D4
OK424796.1	D4
OK424797.1	D4
OK424798.1	D4
OK424799.1	D4
OK424800.1	D4
OK424801.1	D4
OK424802.1	D4
OK424803.1	D4
OK424804.1	D4
OK424805.1	D4
OK424806.1	D4
OK424807.1	D4
OK424808.1	D4
OK424809.1	D4
OK424810.1	D4
OK424811.1	D4
OK424812.1	D4
OK424813.1	D4
OK424814.1	D4
OK424815.1	D4
OK424816.1	D4
OK424817.1	D4
OK424818.1	D4
OK424819.1	D4
OK424820.1	D4
OK424821.1	D4
OK424822.1	D4
OK424823.1	D4
OK424824.1	D4
OK424825.1	D4
OK424826.1	D4
OK424827.1	D4
OK424828.1	D4
OK424829.1	D4
OK424830.1	D4
OK424831.1	D4
OK424832.1	D4
OK424833.1	D4
OK424834.1	D4
OK424835.1	D4
OK424836.1	D4
OK424837.1	D4
OK424838.1	D4
OK424839.1	D4
OK424840.1	D4
OK424841.1	D4
OK424842.1	D4
OK424843.1	D4
OK424844.1	D4
OK424845.1	D4
OK424846.1	D4
OK424847.1	D4
OK424848.1	D4
OL473966.1	A
ON024067.1	B3
ON035847.1	H1
ON035848.1	H1
ON035849.1	H1
ON035850.1	H1
ON035851.1	H1
ON035852.1	H1
ON035853.1	H1
ON035854.1	H1
ON035855.1	H1
ON035856.1	H1
ON035857.1	H1
ON035858.1	H1
ON035859.1	H1
ON035860.1	D8
ON035861.1	H1
ON035862.1	H1
ON035863.1	H1
ON035864.1	H1
ON035865.1	H1
ON035866.1	H1
ON035867.1	H1
ON035868.1	H1
ON035869.1	H1
ON035870.1	H1
ON035871.1	H1
ON035872.1	H1
ON035873.1	H1
ON035874.1	H1
ON035875.1	H1
ON035876.1	H1
ON035877.1	H1
ON035878.1	H1
ON035879.1	H1
ON035880.1	H1
ON035881.1	H1
ON035882.1	H1
ON035883.1	H1
ON035884.1	H1
ON035885.1	H1
ON035886.1	H1
ON035887.1	H1
ON035888.1	H1
ON035889.1	H1
ON035890.1	H1
ON035891.1	H1
ON035892.1	H1
ON035893.1	H1
ON035894.1	H1
ON035895.1	H1
ON035896.1	H1
ON035897.1	H1
ON035898.1	H1
